Site Name ,BLAUOYSTER,,,
Site Number ,1,,,
Logger ,Integrating Light Sensor,,,
Logger Serial Number ,14726,,,
,,,,
,,,,
Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,
,,,,
408,30/05/2021 , 02:00:00,0,0
409,30/05/2021 , 02:15:00,0,0
410,30/05/2021 , 02:30:00,0,0
411,30/05/2021 , 02:45:00,0,0
412,30/05/2021 , 03:00:00,0,0
413,30/05/2021 , 03:15:00,0,0
414,30/05/2021 , 03:30:00,0,0
415,30/05/2021 , 03:45:00,0,0
416,30/05/2021 , 04:00:00,0,0
417,30/05/2021 , 04:15:00,0,0
418,30/05/2021 , 04:30:00,0,0
419,30/05/2021 , 04:45:00,0,0
420,30/05/2021 , 05:00:00,0,0
421,30/05/2021 , 05:15:00,1,1
422,30/05/2021 , 05:30:00,10,10
423,30/05/2021 , 05:45:00,24,24
424,30/05/2021 , 06:00:00,47,47
425,30/05/2021 , 06:15:00,64,64
426,30/05/2021 , 06:30:00,87,87
427,30/05/2021 , 06:45:00,126,126
428,30/05/2021 , 07:00:00,193,193
429,30/05/2021 , 07:15:00,296,296
430,30/05/2021 , 07:30:00,397,397
431,30/05/2021 , 07:45:00,298,298
432,30/05/2021 , 08:00:00,299,299
433,30/05/2021 , 08:15:00,353,353
434,30/05/2021 , 08:30:00,444,444
435,30/05/2021 , 08:45:00,534,534
436,30/05/2021 , 09:00:00,730,730
437,30/05/2021 , 09:15:00,973,973
438,30/05/2021 , 09:30:00,1116,1116
439,30/05/2021 , 09:45:00,1257,1257
440,30/05/2021 , 10:00:00,1285,1285
441,30/05/2021 , 10:15:00,1448,1448
442,30/05/2021 , 10:30:00,1331,1331
443,30/05/2021 , 10:45:00,1618,1618
444,30/05/2021 , 11:00:00,1797,1797
445,30/05/2021 , 11:15:00,1396,1396
446,30/05/2021 , 11:30:00,832,832
447,30/05/2021 , 11:45:00,272,272
448,30/05/2021 , 12:00:00,256,256
449,30/05/2021 , 12:15:00,98,98
450,30/05/2021 , 12:30:00,108,108
451,30/05/2021 , 12:45:00,179,179
452,30/05/2021 , 13:00:00,380,380
453,30/05/2021 , 13:15:00,1709,1709
454,30/05/2021 , 13:30:00,1886,1886
455,30/05/2021 , 13:45:00,2010,2010
456,30/05/2021 , 14:00:00,2179,2179
457,30/05/2021 , 14:15:00,1674,1674
458,30/05/2021 , 14:30:00,1275,1275
459,30/05/2021 , 14:45:00,1342,1342
460,30/05/2021 , 15:00:00,1648,1648
461,30/05/2021 , 15:15:00,1506,1506
462,30/05/2021 , 15:30:00,1396,1396
463,30/05/2021 , 15:45:00,1668,1668
464,30/05/2021 , 16:00:00,2320,2320
465,30/05/2021 , 16:15:00,1873,1873
466,30/05/2021 , 16:30:00,2088,2088
467,30/05/2021 , 16:45:00,1858,1858
468,30/05/2021 , 17:00:00,1371,1371
469,30/05/2021 , 17:15:00,765,765
470,30/05/2021 , 17:30:00,281,281
471,30/05/2021 , 17:45:00,587,587
472,30/05/2021 , 18:00:00,419,419
473,30/05/2021 , 18:15:00,252,252
474,30/05/2021 , 18:30:00,299,299
475,30/05/2021 , 18:45:00,181,181
476,30/05/2021 , 19:00:00,71,71
477,30/05/2021 , 19:15:00,39,39
478,30/05/2021 , 19:30:00,44,44
479,30/05/2021 , 19:45:00,40,40
480,30/05/2021 , 20:00:00,18,18
481,30/05/2021 , 20:15:00,2,2
482,30/05/2021 , 20:30:00,0,0
483,30/05/2021 , 20:45:00,0,0
484,30/05/2021 , 21:00:00,0,0
485,30/05/2021 , 21:15:00,0,0
486,30/05/2021 , 21:30:00,0,0
487,30/05/2021 , 21:45:00,0,0
488,30/05/2021 , 22:00:00,0,0
489,30/05/2021 , 22:15:00,0,0
490,30/05/2021 , 22:30:00,0,0
491,30/05/2021 , 22:45:00,0,0
492,30/05/2021 , 23:00:00,0,0
493,30/05/2021 , 23:15:00,0,0
494,30/05/2021 , 23:30:00,0,0
495,30/05/2021 , 23:45:00,0,0
496,30/05/2021 , 24:00:00,0,0
497,31/05/2021 , 00:15:00,0,0
498,31/05/2021 , 00:30:00,0,0
499,31/05/2021 , 00:45:00,0,0
500,31/05/2021 , 01:00:00,0,0
501,31/05/2021 , 01:15:00,0,0
502,31/05/2021 , 01:30:00,0,0
503,31/05/2021 , 01:45:00,0,0
504,31/05/2021 , 02:00:00,0,0
505,31/05/2021 , 02:15:00,0,0
506,31/05/2021 , 02:30:00,0,0
507,31/05/2021 , 02:45:00,0,0
508,31/05/2021 , 03:00:00,0,0
509,31/05/2021 , 03:15:00,0,0
510,31/05/2021 , 03:30:00,0,0
511,31/05/2021 , 03:45:00,0,0
512,31/05/2021 , 04:00:00,0,0
513,31/05/2021 , 04:15:00,0,0
514,31/05/2021 , 04:30:00,0,0
515,31/05/2021 , 04:45:00,0,0
516,31/05/2021 , 05:00:00,0,0
517,31/05/2021 , 05:15:00,0,0
518,31/05/2021 , 05:30:00,1,1
519,31/05/2021 , 05:45:00,4,4
520,31/05/2021 , 06:00:00,6,6
521,31/05/2021 , 06:15:00,12,12
522,31/05/2021 , 06:30:00,18,18
523,31/05/2021 , 06:45:00,18,18
524,31/05/2021 , 07:00:00,29,29
525,31/05/2021 , 07:15:00,50,50
526,31/05/2021 , 07:30:00,52,52
527,31/05/2021 , 07:45:00,32,32
528,31/05/2021 , 08:00:00,26,26
529,31/05/2021 , 08:15:00,55,55
530,31/05/2021 , 08:30:00,105,105
531,31/05/2021 , 08:45:00,74,74
532,31/05/2021 , 09:00:00,138,138
533,31/05/2021 , 09:15:00,118,118
534,31/05/2021 , 09:30:00,166,166
535,31/05/2021 , 09:45:00,198,198
536,31/05/2021 , 10:00:00,122,122
537,31/05/2021 , 10:15:00,124,124
538,31/05/2021 , 10:30:00,168,168
539,31/05/2021 , 10:45:00,129,129
540,31/05/2021 , 11:00:00,174,174
541,31/05/2021 , 11:15:00,95,95
542,31/05/2021 , 11:30:00,97,97
543,31/05/2021 , 11:45:00,101,101
544,31/05/2021 , 12:00:00,99,99
545,31/05/2021 , 12:15:00,130,130
546,31/05/2021 , 12:30:00,217,217
547,31/05/2021 , 12:45:00,176,176
548,31/05/2021 , 13:00:00,258,258
549,31/05/2021 , 13:15:00,285,285
550,31/05/2021 , 13:30:00,243,243
551,31/05/2021 , 13:45:00,255,255
552,31/05/2021 , 14:00:00,541,541
553,31/05/2021 , 14:15:00,2508,2508
554,31/05/2021 , 14:30:00,5832,5832
555,31/05/2021 , 14:45:00,4939,4939
556,31/05/2021 , 15:00:00,3595,3595
557,31/05/2021 , 15:15:00,2965,2965
558,31/05/2021 , 15:30:00,2620,2620
559,31/05/2021 , 15:45:00,3097,3097
560,31/05/2021 , 16:00:00,4840,4840
561,31/05/2021 , 16:15:00,3777,3777
562,31/05/2021 , 16:30:00,4896,4896
563,31/05/2021 , 16:45:00,4277,4277
564,31/05/2021 , 17:00:00,5037,5037
565,31/05/2021 , 17:15:00,5308,5308
566,31/05/2021 , 17:30:00,5071,5071
567,31/05/2021 , 17:45:00,2558,2558
568,31/05/2021 , 18:00:00,1219,1219
569,31/05/2021 , 18:15:00,1140,1140
570,31/05/2021 , 18:30:00,293,293
571,31/05/2021 , 18:45:00,354,354
572,31/05/2021 , 19:00:00,175,175
573,31/05/2021 , 19:15:00,101,101
574,31/05/2021 , 19:30:00,56,56
575,31/05/2021 , 19:45:00,24,24
576,31/05/2021 , 20:00:00,8,8
577,31/05/2021 , 20:15:00,1,1
578,31/05/2021 , 20:30:00,0,0
579,31/05/2021 , 20:45:00,0,0
580,31/05/2021 , 21:00:00,0,0
581,31/05/2021 , 21:15:00,0,0
582,31/05/2021 , 21:30:00,0,0
583,31/05/2021 , 21:45:00,0,0
584,31/05/2021 , 22:00:00,0,0
585,31/05/2021 , 22:15:00,0,0
586,31/05/2021 , 22:30:00,0,0
587,31/05/2021 , 22:45:00,0,0
588,31/05/2021 , 23:00:00,0,0
589,31/05/2021 , 23:15:00,0,0
590,31/05/2021 , 23:30:00,0,0
591,31/05/2021 , 23:45:00,0,0
592,31/05/2021 , 24:00:00,0,0
593,1/6/2021, 00:15:00,0,0
594,1/6/2021, 00:30:00,0,0
595,1/6/2021, 00:45:00,0,0
596,1/6/2021, 01:00:00,0,0
597,1/6/2021, 01:15:00,0,0
598,1/6/2021, 01:30:00,0,0
599,1/6/2021, 01:45:00,0,0
600,1/6/2021, 02:00:00,0,0
601,1/6/2021, 02:15:00,0,0
602,1/6/2021, 02:30:00,0,0
603,1/6/2021, 02:45:00,0,0
604,1/6/2021, 03:00:00,0,0
605,1/6/2021, 03:15:00,0,0
606,1/6/2021, 03:30:00,0,0
607,1/6/2021, 03:45:00,0,0
608,1/6/2021, 04:00:00,0,0
609,1/6/2021, 04:15:00,0,0
610,1/6/2021, 04:30:00,0,0
611,1/6/2021, 04:45:00,0,0
612,1/6/2021, 05:00:00,0,0
613,1/6/2021, 05:15:00,0,0
614,1/6/2021, 05:30:00,0,0
615,1/6/2021, 05:45:00,0,0
616,1/6/2021, 06:00:00,0,0
617,1/6/2021, 06:15:00,0,0
618,1/6/2021, 06:30:00,0,0
619,1/6/2021, 06:45:00,0,0
620,1/6/2021, 07:00:00,0,0
621,1/6/2021, 07:15:00,0,0
622,1/6/2021, 07:30:00,0,0
623,1/6/2021, 07:45:00,0,0
624,1/6/2021, 08:00:00,0,0
625,1/6/2021, 08:15:00,0,0
626,1/6/2021, 08:30:00,0,0
627,1/6/2021, 08:45:00,0,0
628,1/6/2021, 09:00:00,0,0
