Site Name ,LIZ E - SA
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,14727


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

543,26/07/2021 , 05:45:00,14,14
544,26/07/2021 , 06:00:00,35,35
545,26/07/2021 , 06:15:00,61,61
546,26/07/2021 , 06:30:00,135,135
547,26/07/2021 , 06:45:00,173,173
548,26/07/2021 , 07:00:00,236,236
549,26/07/2021 , 07:15:00,325,325
550,26/07/2021 , 07:30:00,423,423
551,26/07/2021 , 07:45:00,500,500
552,26/07/2021 , 08:00:00,719,719
553,26/07/2021 , 08:15:00,900,900
554,26/07/2021 , 08:30:00,1143,1143
555,26/07/2021 , 08:45:00,1735,1735
556,26/07/2021 , 09:00:00,1737,1737
557,26/07/2021 , 09:15:00,1986,1986
558,26/07/2021 , 09:30:00,1895,1895
559,26/07/2021 , 09:45:00,2536,2536
560,26/07/2021 , 10:00:00,4781,4781
561,26/07/2021 , 10:15:00,5751,5751
562,26/07/2021 , 10:30:00,6900,6900
563,26/07/2021 , 10:45:00,8144,8144
564,26/07/2021 , 11:00:00,9384,9384
565,26/07/2021 , 11:15:00,10667,10667
566,26/07/2021 , 11:30:00,12519,12519
567,26/07/2021 , 11:45:00,13768,13768
568,26/07/2021 , 12:00:00,15644,15644
569,26/07/2021 , 12:15:00,18610,18610
570,26/07/2021 , 12:30:00,20423,20423
571,26/07/2021 , 12:45:00,22233,22233
572,26/07/2021 , 13:00:00,21687,21687
573,26/07/2021 , 13:15:00,24622,24622
574,26/07/2021 , 13:30:00,25406,25406
575,26/07/2021 , 13:45:00,26118,26118
576,26/07/2021 , 14:00:00,27818,27818
577,26/07/2021 , 14:15:00,28637,28637
578,26/07/2021 , 14:30:00,28414,28414
579,26/07/2021 , 14:45:00,28202,28202
580,26/07/2021 , 15:00:00,20575,20575
581,26/07/2021 , 15:15:00,16297,16297
582,26/07/2021 , 15:30:00,13664,13664
583,26/07/2021 , 15:45:00,11328,11328
584,26/07/2021 , 16:00:00,2832,2832
585,26/07/2021 , 16:15:00,1443,1443
586,26/07/2021 , 16:30:00,1438,1438
587,26/07/2021 , 16:45:00,3440,3440
588,26/07/2021 , 17:00:00,3942,3942
589,26/07/2021 , 17:15:00,3819,3819
590,26/07/2021 , 17:30:00,3430,3430
591,26/07/2021 , 17:45:00,3054,3054
