Site Name ,LIZ E - TS
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,14729


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

600,26/07/2021 , 20:00:00,182,182
601,26/07/2021 , 20:15:00,124,124
602,26/07/2021 , 20:30:00,74,74
603,26/07/2021 , 20:45:00,36,36
604,26/07/2021 , 21:00:00,12,12
605,26/07/2021 , 21:15:00,2,2
606,26/07/2021 , 21:30:00,0,0
607,26/07/2021 , 21:45:00,0,0
608,26/07/2021 , 22:00:00,0,0
609,26/07/2021 , 22:15:00,0,0
610,26/07/2021 , 22:30:00,0,0
611,26/07/2021 , 22:45:00,0,0
612,26/07/2021 , 23:00:00,0,0
613,26/07/2021 , 23:15:00,0,0
614,26/07/2021 , 23:30:00,0,0
615,26/07/2021 , 23:45:00,0,0
616,26/07/2021 , 24:00:00,0,0
617,27/07/2021 , 00:15:00,0,0
618,27/07/2021 , 00:30:00,0,0
619,27/07/2021 , 00:45:00,0,0
620,27/07/2021 , 01:00:00,0,0
621,27/07/2021 , 01:15:00,0,0
622,27/07/2021 , 01:30:00,0,0
623,27/07/2021 , 01:45:00,0,0
