Date,Time,Abs Pres (kPa) c:1 2
07/26/21,17:45:00,121.933
07/26/21,18:00:00,123.609
07/26/21,18:15:00,125.180
07/26/21,18:30:00,126.829
07/26/21,18:45:00,128.289
07/26/21,19:00:00,129.724
07/26/21,19:15:00,130.991
07/26/21,19:30:00,132.148
07/26/21,19:45:00,133.054
07/26/21,20:00:00,133.725
07/26/21,20:15:00,134.178
07/26/21,20:30:00,134.528
07/26/21,20:45:00,134.574
07/26/21,21:00:00,134.328
07/26/21,21:15:00,133.963
07/26/21,21:30:00,133.655
07/26/21,21:45:00,133.317
07/26/21,22:00:00,133.132
07/26/21,22:15:00,133.013
07/26/21,22:30:00,132.675
07/26/21,22:45:00,132.167
07/26/21,23:00:00,131.276
07/26/21,23:15:00,130.271
07/26/21,23:30:00,129.328
07/26/21,23:45:00,128.427
07/27/21,00:00:00,127.726
07/27/21,00:15:00,127.159
07/27/21,00:30:00,126.684
07/27/21,00:45:00,126.209
07/27/21,01:00:00,125.720
07/27/21,01:15:00,125.081
07/27/21,01:30:00,124.427
07/27/21,01:45:00,123.797
07/27/21,02:00:00,123.278
07/27/21,02:15:00,122.969
07/27/21,02:30:00,122.958
07/27/21,02:45:00,123.172
07/27/21,03:00:00,123.500
07/27/21,03:15:00,123.898
07/27/21,03:30:00,124.184
07/27/21,03:45:00,124.337
07/27/21,04:00:00,124.326
07/27/21,04:15:00,124.356
07/27/21,04:30:00,124.551
07/27/21,04:45:00,124.930
07/27/21,05:00:00,125.504
07/27/21,05:15:00,126.238
07/27/21,05:30:00,126.981
07/27/21,05:45:00,127.575
07/27/21,06:00:00,127.923
07/27/21,06:15:00,127.998
07/27/21,06:30:00,127.948
07/27/21,06:45:00,127.780
07/27/21,07:00:00,127.642
07/27/21,07:15:00,127.550
07/27/21,07:30:00,127.412
07/27/21,07:45:00,127.121
07/27/21,08:00:00,126.619
07/27/21,08:15:00,125.930
07/27/21,08:30:00,125.105
07/27/21,08:45:00,124.241
07/27/21,09:00:00,123.374
07/27/21,09:15:00,122.595
07/27/21,09:30:00,121.823
07/27/21,09:45:00,121.072
07/27/21,10:00:00,120.240
07/27/21,10:15:00,119.294
07/27/21,10:30:00,118.254
07/27/21,10:45:00,117.150
07/27/21,11:00:00,115.985
07/27/21,11:15:00,114.840
07/27/21,11:30:00,113.742
