Site Name ,SAMISHISLAND
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,14727


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

410,30/05/2021 , 02:30:00,0,0
411,30/05/2021 , 02:45:00,0,0
412,30/05/2021 , 03:00:00,0,0
413,30/05/2021 , 03:15:00,0,0
414,30/05/2021 , 03:30:00,0,0
415,30/05/2021 , 03:45:00,0,0
416,30/05/2021 , 04:00:00,0,0
417,30/05/2021 , 04:15:00,0,0
418,30/05/2021 , 04:30:00,0,0
419,30/05/2021 , 04:45:00,0,0
420,30/05/2021 , 05:00:00,0,0
421,30/05/2021 , 05:15:00,0,0
422,30/05/2021 , 05:30:00,0,0
423,30/05/2021 , 05:45:00,2,2
424,30/05/2021 , 06:00:00,5,5
425,30/05/2021 , 06:15:00,6,6
426,30/05/2021 , 06:30:00,8,8
427,30/05/2021 , 06:45:00,9,9
428,30/05/2021 , 07:00:00,10,10
429,30/05/2021 , 07:15:00,14,14
430,30/05/2021 , 07:30:00,14,14
431,30/05/2021 , 07:45:00,12,12
432,30/05/2021 , 08:00:00,15,15
433,30/05/2021 , 08:15:00,17,17
434,30/05/2021 , 08:30:00,20,20
435,30/05/2021 , 08:45:00,25,25
436,30/05/2021 , 09:00:00,27,27
437,30/05/2021 , 09:15:00,35,35
438,30/05/2021 , 09:30:00,43,43
439,30/05/2021 , 09:45:00,58,58
440,30/05/2021 , 10:00:00,217,217
441,30/05/2021 , 10:15:00,347,347
442,30/05/2021 , 10:30:00,401,401
443,30/05/2021 , 10:45:00,104,104
444,30/05/2021 , 11:00:00,115,115
445,30/05/2021 , 11:15:00,64,64
446,30/05/2021 , 11:30:00,16,16
447,30/05/2021 , 11:45:00,27,27
448,30/05/2021 , 12:00:00,41,41
449,30/05/2021 , 12:15:00,50,50
450,30/05/2021 , 12:30:00,73,73
451,30/05/2021 , 12:45:00,110,110
452,30/05/2021 , 13:00:00,231,231
453,30/05/2021 , 13:15:00,439,439
454,30/05/2021 , 13:30:00,909,909
455,30/05/2021 , 13:45:00,1849,1849
456,30/05/2021 , 14:00:00,2023,2023
457,30/05/2021 , 14:15:00,1307,1307
458,30/05/2021 , 14:30:00,1022,1022
459,30/05/2021 , 14:45:00,1237,1237
460,30/05/2021 , 15:00:00,1370,1370
461,30/05/2021 , 15:15:00,1257,1257
462,30/05/2021 , 15:30:00,1253,1253
463,30/05/2021 , 15:45:00,1848,1848
464,30/05/2021 , 16:00:00,2452,2452
465,30/05/2021 , 16:15:00,1714,1714
466,30/05/2021 , 16:30:00,1873,1873
467,30/05/2021 , 16:45:00,2117,2117
468,30/05/2021 , 17:00:00,439,439
469,30/05/2021 , 17:15:00,133,133
470,30/05/2021 , 17:30:00,57,57
471,30/05/2021 , 17:45:00,39,39
472,30/05/2021 , 18:00:00,1856,1856
473,30/05/2021 , 18:15:00,1345,1345
474,30/05/2021 , 18:30:00,607,607
475,30/05/2021 , 18:45:00,67,67
476,30/05/2021 , 19:00:00,30,30
477,30/05/2021 , 19:15:00,33,33
478,30/05/2021 , 19:30:00,28,28
479,30/05/2021 , 19:45:00,7,7
480,30/05/2021 , 20:00:00,4,4
481,30/05/2021 , 20:15:00,1,1
482,30/05/2021 , 20:30:00,0,0
