Site Name ,LIZ E - NI
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,14728


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

433,25/07/2021 , 02:15:00,0,0
434,25/07/2021 , 02:30:00,0,0
435,25/07/2021 , 02:45:00,0,0
436,25/07/2021 , 03:00:00,0,0
437,25/07/2021 , 03:15:00,0,0
438,25/07/2021 , 03:30:00,0,0
439,25/07/2021 , 03:45:00,0,0
440,25/07/2021 , 04:00:00,0,0
441,25/07/2021 , 04:15:00,0,0
442,25/07/2021 , 04:30:00,0,0
443,25/07/2021 , 04:45:00,0,0
444,25/07/2021 , 05:00:00,0,0
445,25/07/2021 , 05:15:00,0,0
446,25/07/2021 , 05:30:00,2,2
447,25/07/2021 , 05:45:00,16,16
448,25/07/2021 , 06:00:00,41,41
449,25/07/2021 , 06:15:00,73,73
450,25/07/2021 , 06:30:00,127,127
451,25/07/2021 , 06:45:00,186,186
452,25/07/2021 , 07:00:00,247,247
453,25/07/2021 , 07:15:00,316,316
454,25/07/2021 , 07:30:00,412,412
455,25/07/2021 , 07:45:00,344,344
456,25/07/2021 , 08:00:00,413,413
457,25/07/2021 , 08:15:00,327,327
458,25/07/2021 , 08:30:00,129,129
459,25/07/2021 , 08:45:00,141,141
460,25/07/2021 , 09:00:00,214,214
461,25/07/2021 , 09:15:00,291,291
462,25/07/2021 , 09:30:00,262,262
463,25/07/2021 , 09:45:00,578,578
464,25/07/2021 , 10:00:00,1555,1555
465,25/07/2021 , 10:15:00,1494,1494
466,25/07/2021 , 10:30:00,1750,1750
467,25/07/2021 , 10:45:00,1043,1043
468,25/07/2021 , 11:00:00,1166,1166
469,25/07/2021 , 11:15:00,329,329
470,25/07/2021 , 11:30:00,549,549
471,25/07/2021 , 11:45:00,551,551
472,25/07/2021 , 12:00:00,663,663
473,25/07/2021 , 12:15:00,10264,10264
474,25/07/2021 , 12:30:00,15191,15191
475,25/07/2021 , 12:45:00,29289,29289
476,25/07/2021 , 13:00:00,35742,35742
477,25/07/2021 , 13:15:00,36954,36954
478,25/07/2021 , 13:30:00,37311,37311
479,25/07/2021 , 13:45:00,37345,37345
480,25/07/2021 , 14:00:00,20944,20944
481,25/07/2021 , 14:15:00,20409,20409
482,25/07/2021 , 14:30:00,18909,18909
483,25/07/2021 , 14:45:00,14860,14860
484,25/07/2021 , 15:00:00,14957,14957
485,25/07/2021 , 15:15:00,12344,12344
486,25/07/2021 , 15:30:00,10107,10107
487,25/07/2021 , 15:45:00,8649,8649
488,25/07/2021 , 16:00:00,7321,7321
489,25/07/2021 , 16:15:00,6275,6275
490,25/07/2021 , 16:30:00,5326,5326
491,25/07/2021 , 16:45:00,3984,3984
492,25/07/2021 , 17:00:00,3687,3687
493,25/07/2021 , 17:15:00,3075,3075
494,25/07/2021 , 17:30:00,2476,2476
495,25/07/2021 , 17:45:00,1928,1928
496,25/07/2021 , 18:00:00,1611,1611
497,25/07/2021 , 18:15:00,1321,1321
498,25/07/2021 , 18:30:00,1025,1025
499,25/07/2021 , 18:45:00,768,768
500,25/07/2021 , 19:00:00,696,696
501,25/07/2021 , 19:15:00,563,563
502,25/07/2021 , 19:30:00,480,480
503,25/07/2021 , 19:45:00,366,366
504,25/07/2021 , 20:00:00,263,263
505,25/07/2021 , 20:15:00,170,170
506,25/07/2021 , 20:30:00,100,100
507,25/07/2021 , 20:45:00,55,55
508,25/07/2021 , 21:00:00,22,22
509,25/07/2021 , 21:15:00,4,4
510,25/07/2021 , 21:30:00,1,1
511,25/07/2021 , 21:45:00,0,0
512,25/07/2021 , 22:00:00,0,0
513,25/07/2021 , 22:15:00,0,0
514,25/07/2021 , 22:30:00,0,0
515,25/07/2021 , 22:45:00,0,0
516,25/07/2021 , 23:00:00,0,0
517,25/07/2021 , 23:15:00,0,0
518,25/07/2021 , 23:30:00,0,0
519,25/07/2021 , 23:45:00,0,0
520,25/07/2021 , 24:00:00,0,0
521,26/07/2021 , 00:15:00,0,0
522,26/07/2021 , 00:30:00,0,0
523,26/07/2021 , 00:45:00,0,0
524,26/07/2021 , 01:00:00,0,0
525,26/07/2021 , 01:15:00,0,0
526,26/07/2021 , 01:30:00,0,0
527,26/07/2021 , 01:45:00,0,0
528,26/07/2021 , 02:00:00,0,0
529,26/07/2021 , 02:15:00,0,0
530,26/07/2021 , 02:30:00,0,0
531,26/07/2021 , 02:45:00,0,0
532,26/07/2021 , 03:00:00,0,0
533,26/07/2021 , 03:15:00,0,0
534,26/07/2021 , 03:30:00,0,0
535,26/07/2021 , 03:45:00,0,0
536,26/07/2021 , 04:00:00,0,0
